student_id,gender,classification,classification_sub,nationality,sg_pr_status,course_years_remaining,faculty,offered,application_term,course
24328,Male,Undergraduate,RC Senior UG,Malaysian,PR,5,School of Computing,Yes,2023-24 Semester 1 & 2,Bachelor of Computing
24329,Male,Undergraduate,Senior UG,Singapore,Non PR,5,School of Computing,No,2022-23 Semester 1 & 2,Bachelor of Computing
24329,Male,Undergraduate,RC Senior UG,Singapore,Non PR,5,School of Computing,Yes,2023-24 Semester 1 & 2,Bachelor of Computing
24330,Male,Undergraduate,Senior UG,Singapore,Non PR,5,School of Computing,Yes,2023-24 Semester 1 & 2,Bachelor of Science (SOC)
24331,Male,Undergraduate,Senior UG,Singapore,Non PR,5,College of Design and Eng,Yes,2023-24 Semester 1 & 2,Bachelor of Engineering
24331,Male,Undergraduate,Senior UG,Singapore,Non PR,5,College of Design and Eng,Yes,2024-25 Semester 1 & 2,Bachelor of Engineering
24331,Male,Undergraduate,Freshman,Singapore,Non PR,5,College of Design and Eng,Yes,2022-23 Semester 1 & 2,Bachelor of Engineering
24332,Male,Undergraduate,Senior UG,Singapore,Non PR,6,School of Computing,No,2024-25 Semester 1 & 2,Bachelor of Computing
24332,Male,Undergraduate,RC Senior UG,Singapore,Non PR,6,School of Computing,Yes,2022-23 Semester 1 & 2,Bachelor of Computing
24332,Male,Undergraduate,RC Senior UG,Singapore,Non PR,6,School of Computing,Yes,2023-24 Semester 1 & 2,Bachelor of Computing
24333,Male,Undergraduate,RC Senior UG,Singapore,Non PR,6,School of Computing,Yes,2022-23 Semester 1 & 2,Bachelor of Computing
24333,Male,Undergraduate,RC Senior UG,Singapore,Non PR,6,School of Computing,Yes,2023-24 Semester 1 & 2,Bachelor of Computing
24334,Male,Undergraduate,Freshman,Singapore,Non PR,5,College of Design and Eng,No,2022-23 Semester 1 & 2,Bachelor of Engineering
24335,Male,Undergraduate,NA,Singapore,Non PR,5,School of Computing,Yes,2022-23 Semester 1 & 2,Bachelor of Computing
24336,Male,Undergraduate,RC Senior UG,Singapore,Non PR,5,School of Computing,Yes,2022-23 Semester 1 & 2,Bachelor of Computing
24336,Male,Undergraduate,RC Senior UG,Singapore,Non PR,5,School of Computing,Yes,2023-24 Semester 1 & 2,Bachelor of Computing
24337,Male,Undergraduate,Senior UG,Singapore,Non PR,5,College of Design and Eng,No,2024-25 Semester 1 & 2,Bachelor of Engineering
24337,Male,Undergraduate,Senior UG,Singapore,Non PR,5,College of Design and Eng,Yes,2023-24 Semester 1 & 2,Bachelor of Engineering
24337,Male,Undergraduate,Freshman,Singapore,Non PR,5,College of Design and Eng,Yes,2022-23 Semester 1 & 2,Bachelor of Engineering
24339,Male,Undergraduate,Senior UG,Singapore,Non PR,5,NUS Business School,Yes,2023-24 Semester 1 & 2,Bachelor of Business Admin
24339,Male,Undergraduate,Freshman,Singapore,Non PR,5,NUS Business School,Yes,2022-23 Semester 1 & 2,Bachelor of Business Admin
24340,Male,Undergraduate,Senior UG,Singapore,Non PR,6,Faculty of Science,No,2022-23 Semester 1 & 2,Bachelor of Science
24341,Male,Undergraduate,Senior UG,Singapore,Non PR,5,School of Computing,No,2023-24 Semester 1 & 2,Bachelor of Computing
24341,Male,Undergraduate,Senior UG,Singapore,Non PR,5,School of Computing,No,2024-25 Semester 1 & 2,Bachelor of Computing
24342,Male,Undergraduate,RC Senior UG,United States,PR,5,School of Computing,Yes,2022-23 Semester 1 & 2,Bachelor of Computing
24342,Male,Undergraduate,RC Senior UG,United States,PR,5,School of Computing,Yes,2023-24 Semester 1 & 2,Bachelor of Computing
24343,Male,Undergraduate,RC Senior UG,Singapore,Non PR,5,School of Computing,Yes,2022-23 Semester 1 & 2,Bachelor of Computing
24343,Male,Undergraduate,RC Senior UG,Singapore,Non PR,5,School of Computing,Yes,2023-24 Semester 1 & 2,Bachelor of Computing
24344,Male,Undergraduate,RC Senior UG,Singapore,Non PR,5,Faculty of Science,Yes,2022-23 Semester 1 & 2,Bachelor of Science
24344,Male,Undergraduate,RC Senior UG,Singapore,Non PR,5,Faculty of Science,Yes,2023-24 Semester 1 & 2,Bachelor of Science
24345,Male,Undergraduate,RC Senior UG,Singapore,Non PR,5,School of Computing,Yes,2022-23 Semester 1 & 2,Bachelor of Computing
24345,Male,Undergraduate,RC Senior UG,Singapore,Non PR,5,School of Computing,Yes,2023-24 Semester 1 & 2,Bachelor of Computing
24346,Male,Undergraduate,Senior UG,Singapore,Non PR,5,School of Computing,Yes,2023-24 Semester 1 & 2,Bachelor of Computing
24346,Male,Undergraduate,Senior UG,Singapore,Non PR,5,School of Computing,Yes,2024-25 Semester 1 & 2,Bachelor of Computing
